Date,compound,positive,negative,neutral
2022-03-01,0.7964,0.224,0.0,0.776
2022-03-02,0.7039000000000001,0.324,0.151,3.525
2022-03-03,1.9527,0.595,0.075,5.328
2022-03-04,0.3236,0.094,0.04,2.866
2022-03-07,-0.5033999999999998,0.549,0.46499999999999997,4.986
2022-03-08,-0.18070000000000003,0.16,0.154,1.686
2022-03-09,1.1932,0.308,0.0,1.6920000000000002
2022-03-10,3.0842,1.207,0.34500000000000003,8.448
2022-03-11,-1.1942,0.0,0.222,2.778
2022-03-12,-0.6705,0.0,0.2,0.8
2022-03-13,-0.4019,0.082,0.153,0.765
2022-03-14,2.6225,0.6930000000000001,0.0,6.307
2022-03-15,1.1417,0.319,0.08299999999999999,3.598
2022-03-17,-0.21310000000000007,0.172,0.205,1.623
2022-03-18,0.6705,0.133,0.0,1.867
2022-03-21,0.765,0.197,0.0,2.803
2022-03-22,2.9322999999999997,0.706,0.035,3.259
2022-03-23,1.5368,0.442,0.154,3.403
2022-03-24,0.8533999999999999,0.188,0.0,1.8119999999999998
2022-03-25,0.8227,0.145,0.0,2.855
2022-03-26,-0.16410000000000002,0.181,0.27399999999999997,1.546
2022-03-27,-0.368,0.07,0.14400000000000002,1.787
2022-03-28,4.018,1.129,0.192,8.679
2022-03-29,1.4526,0.359,0.055,3.586
2022-03-30,0.92,0.273,0.042,3.685
2022-03-31,0.0732,0.18,0.146,2.674
2022-04-01,1.2474,0.498,0.19999999999999998,3.303
2022-04-02,0.4767,0.088,0.0,0.912
